,__type,ReleaseID,Date,FileDate,D0,D1,D2,D3,D4,None,Entidad
79,DroughtMonitorSite.code.NadmData,146,2014-12-31,20141231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
80,DroughtMonitorSite.code.NadmData,145,2014-11-30,20141130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
81,DroughtMonitorSite.code.NadmData,144,2014-10-31,20141031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
82,DroughtMonitorSite.code.NadmData,143,2014-09-30,20140930,0.44,0.0,0.0,0.0,0.0,99.56,Aguascalientes
83,DroughtMonitorSite.code.NadmData,142,2014-08-31,20140831,2.61,0.0,0.0,0.0,0.0,97.39,Aguascalientes
84,DroughtMonitorSite.code.NadmData,141,2014-07-31,20140731,0.6,0.0,0.0,0.0,0.0,99.4,Aguascalientes
85,DroughtMonitorSite.code.NadmData,140,2014-06-30,20140630,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
86,DroughtMonitorSite.code.NadmData,139,2014-05-31,20140531,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
87,DroughtMonitorSite.code.NadmData,138,2014-04-30,20140430,88.95,9.3,0.0,0.0,0.0,1.75,Aguascalientes
88,DroughtMonitorSite.code.NadmData,137,2014-03-31,20140331,20.87,0.0,0.0,0.0,0.0,79.13,Aguascalientes
89,DroughtMonitorSite.code.NadmData,136,2014-02-28,20140228,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
90,DroughtMonitorSite.code.NadmData,135,2014-01-31,20140131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
91,DroughtMonitorSite.code.NadmData,134,2013-12-31,20131231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
92,DroughtMonitorSite.code.NadmData,133,2013-11-30,20131130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
93,DroughtMonitorSite.code.NadmData,132,2013-10-31,20131031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
94,DroughtMonitorSite.code.NadmData,131,2013-09-30,20130930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
95,DroughtMonitorSite.code.NadmData,130,2013-08-31,20130831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
96,DroughtMonitorSite.code.NadmData,129,2013-07-31,20130731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
97,DroughtMonitorSite.code.NadmData,128,2013-06-30,20130630,57.16,0.0,0.0,0.0,0.0,42.84,Aguascalientes
98,DroughtMonitorSite.code.NadmData,127,2013-05-31,20130531,100.0,0.0,0.0,0.0,0.0,0.0,Aguascalientes
99,DroughtMonitorSite.code.NadmData,126,2013-04-30,20130430,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
100,DroughtMonitorSite.code.NadmData,125,2013-03-31,20130331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
101,DroughtMonitorSite.code.NadmData,124,2013-02-28,20130228,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
102,DroughtMonitorSite.code.NadmData,123,2013-01-31,20130131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
103,DroughtMonitorSite.code.NadmData,122,2012-12-31,20121231,0.8,0.0,0.0,0.0,0.0,99.2,Aguascalientes
104,DroughtMonitorSite.code.NadmData,121,2012-11-30,20121130,0.8,0.0,0.0,0.0,0.0,99.2,Aguascalientes
105,DroughtMonitorSite.code.NadmData,120,2012-10-31,20121031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
106,DroughtMonitorSite.code.NadmData,119,2012-09-30,20120930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
107,DroughtMonitorSite.code.NadmData,118,2012-08-31,20120831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
108,DroughtMonitorSite.code.NadmData,117,2012-07-31,20120731,49.88,0.0,0.0,0.0,0.0,50.12,Aguascalientes
109,DroughtMonitorSite.code.NadmData,116,2012-06-30,20120630,100.0,0.0,0.0,0.0,0.0,0.0,Aguascalientes
110,DroughtMonitorSite.code.NadmData,115,2012-05-31,20120531,100.0,0.0,0.0,0.0,0.0,0.0,Aguascalientes
111,DroughtMonitorSite.code.NadmData,114,2012-04-30,20120430,7.06,92.94,0.0,0.0,0.0,0.0,Aguascalientes
112,DroughtMonitorSite.code.NadmData,113,2012-03-31,20120331,7.45,80.33,12.22,0.0,0.0,0.0,Aguascalientes
113,DroughtMonitorSite.code.NadmData,112,2012-02-29,20120229,18.78,81.22,0.0,0.0,0.0,0.0,Aguascalientes
114,DroughtMonitorSite.code.NadmData,111,2012-01-31,20120131,0.0,0.0,22.55,77.45,0.0,0.0,Aguascalientes
115,DroughtMonitorSite.code.NadmData,110,2011-12-31,20111231,0.0,0.0,0.0,72.86,27.14,0.0,Aguascalientes
116,DroughtMonitorSite.code.NadmData,109,2011-11-30,20111130,0.0,0.0,0.0,54.63,45.37,0.0,Aguascalientes
117,DroughtMonitorSite.code.NadmData,108,2011-10-31,20111031,0.0,0.0,4.8,95.2,0.0,0.0,Aguascalientes
118,DroughtMonitorSite.code.NadmData,107,2011-09-30,20110930,0.0,0.0,33.06,66.94,0.0,0.0,Aguascalientes
119,DroughtMonitorSite.code.NadmData,106,2011-08-31,20110831,0.0,0.0,100.0,0.0,0.0,0.0,Aguascalientes
120,DroughtMonitorSite.code.NadmData,105,2011-07-31,20110731,0.0,0.0,0.0,100.0,0.0,0.0,Aguascalientes
